Features,min,max,mean,std
IMU1_GyroX_Mean,-50154.56023701951,64004.8798222037,193.96883695202095,5545.731422395917
IMU1_GyroX_StdDev,17.628332589585604,58595.3446116425,3555.9127771627263,7552.759515554203
IMU1_GyroX_RMS,21.1962802114853,58592.6305274222,3542.445187611811,7560.514952678274
IMU1_GyroX_Amp,72.75720868822751,41712.2025950159,4225.243907017839,5441.757835185434
IMU1_GyroY_Mean,-89938.1246957866,91070.5773505751,29.234910346177433,7360.131952933723
IMU1_GyroY_StdDev,18.478321926302897,25141.4179617431,2000.6970437763218,3882.9833295293356
IMU1_GyroY_RMS,61.255302543008,25111.9027910699,1998.3640233664187,3879.6417449078094
IMU1_GyroY_Amp,64.889027172786,21347.1480734124,2350.3039576682077,3284.059007858036
IMU1_GyroZ_Mean,-146053.328489351,60472.0533788078,-12.560853981557997,6104.690568929505
IMU1_GyroZ_StdDev,10.0516772977704,25058.838838637203,1839.3486757390513,3106.860622258895
IMU1_GyroZ_RMS,16.7779026949459,25090.646405646403,1827.0410830994538,3096.4968900342415
IMU1_GyroZ_Amp,49.8827398450049,19786.4311492337,2075.1683848801354,2553.5596477756635
IMU1_AccX_Mean,-68.067642832854,123.583608660466,10.170226375573073,27.243642506264585
IMU1_AccX_StdDev,2.0071712832994,19112.0799552294,176.5003638082042,1016.0400506869164
IMU1_AccX_RMS,3.99766807529014,511.741863770647,91.74148357327788,102.5186858779044
IMU1_AccX_Amp,7.162497506483151,10742.5806451613,268.7482052432139,624.8375901902206
IMU1_AccY_Mean,-68.8698103094237,222.128390619604,24.91718530398037,43.96945022482805
IMU1_AccY_StdDev,0.6603624011813111,2180.25175545632,226.86428536436944,333.3190580821523
IMU1_AccY_RMS,2.3701803866946296,2121.24445110619,187.05968652756866,281.1727931740477
IMU1_AccY_Amp,2.8955116696588905,2787.24490682042,390.37696441228405,459.3956236990193
IMU1_AccZ_Mean,-538.7511923239421,46735.8262188055,692.032022525524,4472.88445842911
IMU1_AccZ_StdDev,1.47480144462154,22350.8207820089,640.9410049372287,1987.5143929751223
IMU1_AccZ_RMS,5.08016756901212,22377.8950234944,569.3406918653283,1971.3251533807133
IMU1_AccZ_Amp,5.85517654099342,22749.2248062014,826.1761583142079,1974.2543685079886
IMU2_GyroX_Mean,-490256.86495933,516181.286080137,433.93500269582626,34504.56724016422
IMU2_GyroX_StdDev,4.548895411459401,7445.91022805223,601.3853796827939,852.2450706488622
IMU2_GyroX_RMS,4.71396765943021,7445.075155163559,590.0356659386883,840.5514472187531
IMU2_GyroX_Amp,19.724452186594,5119.34169832774,811.1451737273677,661.9106447443501
IMU2_GyroY_Mean,-131937.046708066,149638.44170593,-156.8315322946858,10037.20026358469
IMU2_GyroY_StdDev,1.57687253179719,13423.7438067569,837.1182994026353,1564.600118746098
IMU2_GyroY_RMS,2.23849820687871,13395.9994302184,831.7139656492701,1559.046792849844
IMU2_GyroY_Amp,7.20318805306857,8918.93545022673,986.2045637017458,1060.5003984668842
IMU2_GyroZ_Mean,-7277.3656198875,5519.05466626374,-17.890973472388,639.123151922102
IMU2_GyroZ_StdDev,1.3532982768435702,10171.0444831271,668.410351943379,1254.1140720240828
IMU2_GyroZ_RMS,1.7980239966872702,10153.8263954493,656.820056232381,1241.0130645328409
IMU2_GyroZ_Amp,5.696060302559331,9603.22708060322,794.8253925970718,1050.9541937488216
IMU2_AccX_Mean,-3.37844256121,147.730375497778,45.942500401163684,44.6492715325453
IMU2_AccX_StdDev,0.14166011248907,333.653840009862,57.460220266575476,63.14387885638975
IMU2_AccX_RMS,4.79095461937519,318.359664406189,57.23975196166822,53.50591309263832
IMU2_AccX_Amp,0.6587672052663089,387.5481124441481,95.91941028166303,74.22370516736417
IMU2_AccY_Mean,-821.419305524831,877.346018954265,31.49665015884715,119.55444666589408
IMU2_AccY_StdDev,0.19850675016436,3172.5575044781394,230.17172955221847,437.68111508168954
IMU2_AccY_RMS,0.633130269179318,2883.21922163893,200.40717172416763,383.22972014552437
IMU2_AccY_Amp,0.98623578695392,3001.4447236181,252.30481844777862,406.83056811985267
IMU2_AccZ_Mean,0.398825831256726,228.65204681772,41.43492555541813,43.62608939365302
IMU2_AccZ_StdDev,0.150733559606757,1358.84102320058,71.15465997323604,97.52710818228459
IMU2_AccZ_RMS,4.573418983332259,1310.38444825977,66.12429572245247,81.50295970727727
IMU2_AccZ_Amp,0.5984440454817471,1177.49510763209,115.65191361020143,120.24662819876887
OFS_FIB_Mean,47.24702380952379,303.670886075949,141.37287039115694,57.02394725122033
OFS_FIB_StdDev,0.34524714839062,87488.1776169403,3515.3415831532016,8917.139153585098
OFS_FIB_RMS,-3789.42733672229,3466.32208389778,71.55180130801646,849.8927797520187
OFS_FIB_ROM,2.50869021169821,4495.721883158,488.593096905654,826.8109480291955
OFS_FIB_tnorm,1.1717109853228798,51647.5330950567,2707.578210125397,6444.2258069154595
OFS_FIB_MNF,2.61611663621974e-05,1.6933112405165902,0.30058941294018904,0.344299759109943
OFS_FIB_MDF,0.0760271000913949,0.938208359624902,0.23227299949037322,0.15813965474433248
OFS_FIB_IMNF,0.5835818618303821,7.47543700996297,1.1046732465958657,0.6207596367313191
EMG_EMG_Mean,0.0279961283392709,12220.6875915723,524.5808746314857,1136.9219368724548
EMG_EMG_StdDev,0.0087446660013712,76197.9628031023,879.9644698903113,2935.9056062940444
EMG_EMG_RMS,0.0293293282830014,27749.8354256408,583.5543096649388,1433.6082457279358
EMG_EMG_Amp,0.0346345056582537,55656.256218867806,812.6602885880861,2413.453694299477
EMG_EMG_MNF,0.0361174026005898,5.23531702400914,0.3894498373730378,0.37750671450523543
EMG_EMG_MDF,0.0572984563469969,1.51737397003369,0.19920932216866127,0.13576485256531168
EMG_EMG_IMNF,5.60923624644356,53.357529070055705,8.503678133411977,5.2987515349810375
Fatigue_level,-2.0,0.0,-1.014516129032258,0.8531093533345584
